ID;Age;Sex;Year;date;wt;hlg;RS;sq.date;GR;Y-int;wtd12;wtd114;Notes;R LX;L LX;Hbase;AgeClass
14C;2;2;1973;90;59.7;NA;NA;9.486832980505138;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
33C;2;2;1973;90;60.2;NA;NA;9.486832980505138;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
33D;2;2;1973;90;54.7;NA;NA;9.486832980505138;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
21C;2;2;1974;65;63.6;NA;NA;8.06225774829855;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
2D;2;2;1974;43;50.8;NA;NA;6.557438524302;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
3E;2;2;1975;11;40;NA;0;3.3166247903554;1.8514496426825764;33.85943621698432;40.272857779236766;53.627364051906184;NA;NA;NA;NA;Ewe
3E;2;2;1975;76;50;NA;0;8.717797887081348;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
14E;2;2;1975;11;40.9;NA;0;3.3166247903554;2.3513410462068722;33.101483995570085;41.24652937963069;58.20675234592086;NA;NA;NA;NA;Ewe
14E;2;2;1975;76;53.6;NA;0;8.717797887081348;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
2E;2;2;1975;13;42.3;NA;0;3.605551275463989;2.3864263457627475;33.695617445234255;41.96219830695641;59.175491538943106;NA;NA;NA;NA;Ewe
2E;2;2;1975;76;54.5;NA;0;8.717797887081348;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
24D;2;2;1975;15;45.4;13.9;0;3.872983346207417;2.8277656212468223;34.448110841933186;44.24349095393218;64.6401643799855;NA;NA;NA;NA;Ewe
24D;2;2;1975;76;59.1;17.8;0;8.717797887081348;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
27D;2;2;1975;18;41.8;NA;0;4.242640687119285;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
21D;2;2;1975;28;43.6;NA;3;5.291502622129181;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
8E;2;2;1976;61;54.5;18.7;0;7.810249675906654;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
18E;2;2;1976;4;43.6;NA;0;2;2.1572163855813877;39.33952688377832;46.812124443432246;NA;NA;NA;NA;NA;Ewe
18E;2;2;1976;42;53.6;NA;0;6.48074069840786;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
18E;2;2;1976;57;55.4;NA;0;7.54983443527075;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
19E;2;2;1976;5;40.9;13.2;0;2.23606797749979;NA;NA;42.4;NA;NA;NA;NA;NA;Ewe
19E;2;2;1976;26;44.5;15.2;0;5.0990195135927845;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
4F;2;2;1976;14;46.4;NA;0;3.7416573867739413;1.4496915978889557;40.97575072421467;45.99748241930201;56.45410791487505;NA;NA;NA;NA;Ewe
4F;2;2;1976;99;55.4;NA;0;9.9498743710662;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
2F;2;2;1976;16;46.4;NA;0;4;2.628441338747801;35.8862346450088;44.99115544243118;63.95010281881907;NA;NA;NA;NA;Ewe
2F;2;2;1976;78;59.1;NA;0;8.831760866327848;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
2G;2;2;1977;46;59.1;NA;3;6.782329983125268;NA;NA;NA;NA;pregnant?;NA;NA;NA;Ewe
2G;2;2;1977;65;56.8;NA;3;8.06225774829855;2.1356434445029002;39.58189209195349;NA;62.38415714891096;NA;NA;NA;NA;Ewe
2G;2;2;1977;76;58.2;NA;3;8.717797887081348;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
1G;2;2;1977;48;54.1;NA;5;6.928203230275509;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
1G;2;2;1977;65;55.9;NA;5;8.06225774829855;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
7G;2;2;1977;18;59.5;NA;0;4.242640687119285;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
8F;2;2;1977;10;46.4;18;0;3.1622776601683795;NA;NA;47.3;NA;NA;NA;NA;NA;Ewe
8F;2;2;1977;24;51.4;19.7;0;4.898979485566356;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
10F;2;2;1977;17;45;18.1;3;4.123105625617661;2.568180702539802;34.411119697755424;43.307297651353295;61.83158505877289;NA;NA;NA;NA;Ewe
10F;2;2;1977;76;56.8;21;3;8.717797887081348;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
11F;2;2;1977;10;46.4;18;1;3.1622776601683795;3.2399629146092974;36.15433765535698;47.37756919156359;NA;NA;NA;NA;NA;Ewe
11F;2;2;1977;56;60.4;NA;1;7.483314773547883;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
16F;2;2;1977;11;40.9;15.3;1;3.3166247903554;2.0898375032128054;34.67559668370706;41.91479379483622;56.98879170551018;NA;NA;NA;NA;Ewe
16F;2;2;1977;17;43.6;15.5;1;4.123105625617661;NA;NA;NA;NA;NA;NA;NA;NA;Ewe
